Date,Open
2014/1/31,97.9
2014/2/28,97.6
2014/3/31,97.3
2014/4/30,96.9
2014/5/31,97.2
2014/6/30,97.3
2014/7/31,97
2014/8/31,96.6
2014/9/30,96.3
2014/10/31,96.2
2014/11/30,96.2
2014/12/31,95.3
2015/1/31,94.9
2015/2/28,93.94
2015/3/31,94.93
2015/4/30,94.22
2015/5/31,94.51
2015/6/30,94.55
2015/7/31,94.51
2015/8/31,94.04
2015/9/30,93.78
2015/10/31,93.87
2015/11/30,94
2015/12/31,94
2016/1/31,98.82
2016/2/29,98.92
2016/3/31,99.15
2016/4/30,99.28
2016/5/31,99.24
2016/6/30,99.18
2016/7/31,99.2
2016/8/31,99.3
2016/9/30,102.9
2016/10/31,100.3
2016/11/30,101.01
2016/12/31,102.08
2017/1/31,102.69
2017/2/28,103.22
2017/3/31,103.55
2017/4/30,103.72
2017/5/31,103.59
2017/6/30,103.58
2017/7/31,103.47
2017/8/31,103.27
2017/9/30,103.07
2017/10/31,103.01
2017/11/30,103.15
2017/12/31,103.32
2018/1/31,103.7
2018/2/28,103.9
2018/3/31,103.77
2018/4/30,103.33
2018/5/31,102.79
2018/6/30,102.28
2018/7/31,101.84
2018/8/31,101.41
2018/9/30,100.93
2018/10/31,100.37
2018/11/30,99.85
2018/12/31,99.57
2019/1/31,99.51
2019/2/28,99.48
2019/3/31,99.38
2019/4/30,99.14
2019/5/31,98.76
2019/6/30,98.37
2019/7/31,98.17
2019/8/31,98.12
2019/9/30,97.87
2019/10/31,96.85
2019/11/30,94.51
2019/12/31,90.93
2020/1/31,87.35
2020/2/29,85.33
2020/3/31,85.67
2020/4/30,88.01
2020/5/31,91.22
2020/6/30,94.22
2020/7/31,96.42
2020/8/31,98.02
2020/9/30,99.8
2020/10/31,102.38
2020/11/30,106.06
2020/12/31,110.59
2021/1/31,114.91
2021/2/28,117.59
